"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\ifit\ecomflutter\lib\Features\CategoriesPage\Presentation\Views\Widgets\category_product_grid.dart", "Dart", 74, 0, 0, 4, 78
"c:\ifit\ecomflutter\lib\Features\CategoriesPage\Presentation\Views\Widgets\category_view_body.dart", "Dart", 43, 0, 0, 2, 45
"c:\ifit\ecomflutter\lib\Features\CategoriesPage\Presentation\Views\category_view.dart", "Dart", 10, 0, 0, 2, 12
"c:\ifit\ecomflutter\lib\Features\CheckoutPage\CheckoutPageView\Data\Repo\payment_repo.dart", "Dart", 116, 0, 0, 11, 127
"c:\ifit\ecomflutter\lib\Features\CheckoutPage\CheckoutPageView\Manager\cart_cubit.dart", "Dart", 48, 0, 5, 12, 65
"c:\ifit\ecomflutter\lib\Features\CheckoutPage\CheckoutPageView\Manager\cart_state.dart", "Dart", 26, 0, 0, 5, 31
"c:\ifit\ecomflutter\lib\Features\CheckoutPage\CheckoutPageView\Views\Widgets\checkout_dialog.dart", "Dart", 0, 0, 84, 6, 90
"c:\ifit\ecomflutter\lib\Features\CheckoutPage\CheckoutPageView\Views\Widgets\checkout_list.dart", "Dart", 8, 0, 0, 3, 11
"c:\ifit\ecomflutter\lib\Features\CheckoutPage\CheckoutPageView\Views\Widgets\checkout_price.dart", "Dart", 71, 0, 0, 3, 74
"c:\ifit\ecomflutter\lib\Features\CheckoutPage\CheckoutPageView\Views\Widgets\enter_coupon_widget.dart", "Dart", 71, 0, 0, 7, 78
"c:\ifit\ecomflutter\lib\Features\CheckoutPage\CheckoutPageView\Views\cart.dart", "Dart", 259, 0, 12, 11, 282
"c:\ifit\ecomflutter\lib\Features\CheckoutPage\CheckoutPageView\Views\checkout.dart", "Dart", 200, 0, 10, 7, 217
"c:\ifit\ecomflutter\lib\Features\CheckoutPage\CheckoutPageView\Views\payment_web_view.dart", "Dart", 56, 0, 0, 15, 71
"c:\ifit\ecomflutter\lib\Features\CheckoutPage\SuccessPageView\success_view.dart", "Dart", 66, 0, 0, 5, 71
"c:\ifit\ecomflutter\lib\Features\DashboardPage\Data\Models\dashboard_order.dart", "Dart", 92, 0, 2, 19, 113
"c:\ifit\ecomflutter\lib\Features\DashboardPage\Data\Models\dashboard_order.g.dart", "Dart", 86, 0, 4, 13, 103
"c:\ifit\ecomflutter\lib\Features\DashboardPage\Data\Models\dashboard_product.dart", "Dart", 55, 0, 0, 13, 68
"c:\ifit\ecomflutter\lib\Features\DashboardPage\Data\Models\dashboard_product.g.dart", "Dart", 51, 0, 4, 8, 63
"c:\ifit\ecomflutter\lib\Features\DashboardPage\Data\Models\dashboard_user.dart", "Dart", 40, 0, 0, 10, 50
